Notes,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Race,Race Code,MCD - ICD Chapter,MCD - ICD Chapter Code,Deaths,Population,Crude Rate
,Alabama,1,2002,2002,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,41,413898,9.9
,Alabama,1,2002,2002,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,54,484092,11.2
,Alabama,1,2002,2002,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,41,466740,8.8
,Alabama,1,2002,2002,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,358407,Unreliable
,Alabama,1,2003,2003,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,24,428232,5.6
,Alabama,1,2003,2003,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,27,411552,6.6
,Alabama,1,2003,2003,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,57,475707,12
,Alabama,1,2003,2003,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,37,470531,7.9
,Alabama,1,2003,2003,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,371577,Unreliable
,Alabama,1,2004,2004,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,45,429822,10.5
,Alabama,1,2004,2004,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,37,409185,9
,Alabama,1,2004,2004,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,165491,Unreliable
,Alabama,1,2004,2004,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,73,470103,15.5
,Alabama,1,2004,2004,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,66,474902,13.9
,Alabama,1,2004,2004,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,384624,Unreliable
,Alabama,1,2005,2005,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,40,432473,9.2
,Alabama,1,2005,2005,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,59,407876,14.5
,Alabama,1,2005,2005,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,70,466151,15
,Alabama,1,2005,2005,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,66,481269,13.7
,Alabama,1,2005,2005,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,396756,Unreliable
,Alabama,1,2006,2006,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,54,434424,12.4
,Alabama,1,2006,2006,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,80,408941,19.6
,Alabama,1,2006,2006,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,164188,Unreliable
,Alabama,1,2006,2006,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,92,464971,19.8
,Alabama,1,2006,2006,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,77,489353,15.7
,Alabama,1,2006,2006,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,33,408884,8.1
,Alabama,1,2006,2006,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,270949,Unreliable
,Alabama,1,2006,2006,75-84 years,75-84,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,169920,Unreliable
,Alabama,1,2007,2007,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,62,437731,14.2
,Alabama,1,2007,2007,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,86,408581,21
,Alabama,1,2007,2007,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,131,460923,28.4
,Alabama,1,2007,2007,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,173931,Unreliable
,Alabama,1,2007,2007,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,110,495165,22.2
,Alabama,1,2007,2007,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,115028,Unreliable
,Alabama,1,2007,2007,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,47,419238,11.2
,Alabama,1,2007,2007,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,276230,Unreliable
,Alabama,1,2008,2008,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,47,441137,10.7
,Alabama,1,2008,2008,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,142,410490,34.6
,Alabama,1,2008,2008,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,137,454697,30.1
,Alabama,1,2008,2008,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,14,176093,Unreliable
,Alabama,1,2008,2008,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,149,499731,29.8
,Alabama,1,2008,2008,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,74,426097,17.4
,Alabama,1,2008,2008,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,285942,Unreliable
,Alabama,1,2009,2009,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,57,444542,12.8
,Alabama,1,2009,2009,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,174402,Unreliable
,Alabama,1,2009,2009,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,135,413782,32.6
,Alabama,1,2009,2009,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,162774,Unreliable
,Alabama,1,2009,2009,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,162,448213,36.1
,Alabama,1,2009,2009,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,138,502722,27.5
,Alabama,1,2009,2009,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,62,435258,14.2
,Alabama,1,2009,2009,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,294701,Unreliable
,Alabama,1,2009,2009,75-84 years,75-84,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,172231,Unreliable
,Alabama,1,2010,2010,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,38,445352,8.5
,Alabama,1,2010,2010,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,132,415020,31.8
,Alabama,1,2010,2010,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,132,441533,29.9
,Alabama,1,2010,2010,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,14,177432,Unreliable
,Alabama,1,2010,2010,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,136,503234,27
,Alabama,1,2010,2010,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,47,444244,10.6
,Alabama,1,2010,2010,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,299087,Unreliable
,Alabama,1,2011,2011,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,45,444557,10.1
,Alabama,1,2011,2011,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,120,417849,28.7
,Alabama,1,2011,2011,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,128,431709,29.6
,Alabama,1,2011,2011,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,175723,Unreliable
,Alabama,1,2011,2011,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,144,496020,29
,Alabama,1,2011,2011,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,142844,Unreliable
,Alabama,1,2011,2011,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,46,457566,10.1
,Alabama,1,2011,2011,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,305976,7.2
,Alabama,1,2012,2012,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,48,441924,10.9
,Alabama,1,2012,2012,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,180996,Unreliable
,Alabama,1,2012,2012,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,122,418399,29.2
,Alabama,1,2012,2012,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,161107,Unreliable
,Alabama,1,2012,2012,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,129,428640,30.1
,Alabama,1,2012,2012,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,140,487268,28.7
,Alabama,1,2012,2012,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,55,457142,12
,Alabama,1,2012,2012,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,324264,Unreliable
,Alabama,1,2013,2013,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,40,440732,9.1
,Alabama,1,2013,2013,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,183110,Unreliable
,Alabama,1,2013,2013,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,144,419481,34.3
,Alabama,1,2013,2013,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,18,162490,Unreliable
,Alabama,1,2013,2013,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,129,427199,30.2
,Alabama,1,2013,2013,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,128,480300,26.7
,Alabama,1,2013,2013,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,152514,Unreliable
,Alabama,1,2013,2013,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,75,459607,16.3
,Alabama,1,2013,2013,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,335903,Unreliable
,Alabama,1,2013,2013,75-84 years,75-84,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,180706,Unreliable
,Alabama,1,2014,2014,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,51,436230,11.7
,Alabama,1,2014,2014,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,185754,Unreliable
,Alabama,1,2014,2014,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,153,422024,36.3
,Alabama,1,2014,2014,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,14,164854,Unreliable
,Alabama,1,2014,2014,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,155,422616,36.7
,Alabama,1,2014,2014,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,167438,Unreliable
,Alabama,1,2014,2014,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,157,474396,33.1
,Alabama,1,2014,2014,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,112,462166,24.2
,Alabama,1,2014,2014,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,346983,6.3
,Alabama,1,2015,2015,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,53,429393,12.3
,Alabama,1,2015,2015,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,18,188507,Unreliable
,Alabama,1,2015,2015,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,133,425367,31.3
,Alabama,1,2015,2015,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,166978,Unreliable
,Alabama,1,2015,2015,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,167,416831,40.1
,Alabama,1,2015,2015,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,20,165260,12.1
,Alabama,1,2015,2015,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,179,469046,38.2
,Alabama,1,2015,2015,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,159521,Unreliable
,Alabama,1,2015,2015,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,94,466758,20.1
,Alabama,1,2015,2015,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,356126,Unreliable
,Alabama,1,2016,2016,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,54,422957,12.8
,Alabama,1,2016,2016,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,24,191918,12.5
,Alabama,1,2016,2016,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,166,427488,38.8
,Alabama,1,2016,2016,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,31,167231,18.5
,Alabama,1,2016,2016,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,172,409927,42
,Alabama,1,2016,2016,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,19,163761,Unreliable
,Alabama,1,2016,2016,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,129,464680,27.8
,Alabama,1,2016,2016,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,161409,Unreliable
,Alabama,1,2016,2016,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,91,471518,19.3
,Alabama,1,2016,2016,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,25,364490,6.9
,Alabama,1,2017,2017,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,62,421058,14.7
,Alabama,1,2017,2017,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,40,195097,20.5
,Alabama,1,2017,2017,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,175,426912,41
,Alabama,1,2017,2017,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,37,166922,22.2
,Alabama,1,2017,2017,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,178,406352,43.8
,Alabama,1,2017,2017,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,26,162644,16
,Alabama,1,2017,2017,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,160,457668,35
,Alabama,1,2017,2017,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,163342,Unreliable
,Alabama,1,2017,2017,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,101,474542,21.3
,Alabama,1,2017,2017,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,371742,5.9
,Alabama,1,2018,2018,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,38,418302,9.1
,Alabama,1,2018,2018,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,34,198030,17.2
,Alabama,1,2018,2018,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,142,426976,33.3
,Alabama,1,2018,2018,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,33,167169,19.7
,Alabama,1,2018,2018,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,180,406281,44.3
,Alabama,1,2018,2018,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,29,160635,18.1
,Alabama,1,2018,2018,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,136,450033,30.2
,Alabama,1,2018,2018,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,164647,13.4
,Alabama,1,2018,2018,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,101,477411,21.2
,Alabama,1,2018,2018,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,27,376332,7.2
,Alabama,1,2019,2019,15-24 years,15-24,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,201027,Unreliable
,Alabama,1,2019,2019,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,42,416785,10.1
,Alabama,1,2019,2019,25-34 years,25-34,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,36,200144,18
,Alabama,1,2019,2019,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,155,428336,36.2
,Alabama,1,2019,2019,35-44 years,35-44,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,33,167393,19.7
,Alabama,1,2019,2019,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,167,406827,41
,Alabama,1,2019,2019,45-54 years,45-54,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,17,158441,Unreliable
,Alabama,1,2019,2019,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,133,441212,30.1
,Alabama,1,2019,2019,55-64 years,55-64,Black or African American,2054-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,164968,13.3
,Alabama,1,2019,2019,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,103,479115,21.5
,Alabama,1,2019,2019,65-74 years,65-74,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,27,384009,7
,Alaska,2,1999,1999,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,17,90952,Unreliable
,Alaska,2,2000,2000,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,88008,Unreliable
,Alaska,2,2000,2000,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,76810,Unreliable
,Alaska,2,2001,2001,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,63988,Unreliable
,Alaska,2,2001,2001,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,84830,25.9
,Alaska,2,2002,2002,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,27,81700,33
,Alaska,2,2002,2002,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,24,82591,29.1
,Alaska,2,2003,2003,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,69647,Unreliable
,Alaska,2,2003,2003,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,23,78595,29.3
,Alaska,2,2003,2003,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,84494,Unreliable
,Alaska,2,2004,2004,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,63422,Unreliable
,Alaska,2,2004,2004,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,21,76916,27.3
,Alaska,2,2004,2004,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,18,85839,Unreliable
,Alaska,2,2005,2005,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,18,75114,Unreliable
,Alaska,2,2005,2005,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,17,86827,Unreliable
,Alaska,2,2006,2006,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,73705,Unreliable
,Alaska,2,2006,2006,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,65002,Unreliable
,Alaska,2,2006,2006,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,14,73497,Unreliable
,Alaska,2,2006,2006,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,19,87825,Unreliable
,Alaska,2,2007,2007,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,17,66688,Unreliable
,Alaska,2,2007,2007,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,71549,Unreliable
,Alaska,2,2007,2007,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,20,87478,22.9
,Alaska,2,2008,2008,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,72100,Unreliable
,Alaska,2,2008,2008,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,68734,Unreliable
,Alaska,2,2008,2008,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,69798,31.5
,Alaska,2,2008,2008,45-54 years,45-54,American Indian or Alaska Native,1002-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,14541,Unreliable
,Alaska,2,2008,2008,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,27,86366,31.3
,Alaska,2,2008,2008,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,62239,Unreliable
,Alaska,2,2009,2009,15-24 years,15-24,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,69406,Unreliable
,Alaska,2,2009,2009,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,14,70721,Unreliable
,Alaska,2,2009,2009,35-44 years,35-44,American Indian or Alaska Native,1002-5,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,13818,Unreliable
,Alaska,2,2009,2009,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,68051,Unreliable
,Alaska,2,2009,2009,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,34,86720,39.2
,Alaska,2,2009,2009,55-64 years,55-64,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,17,66230,Unreliable
,Alaska,2,2010,2010,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,68364,Unreliable
,Alaska,2,2010,2010,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,85125,25.8
,Alaska,2,2011,2011,25-34 years,25-34,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,18,76684,Unreliable
,Alaska,2,2011,2011,35-44 years,35-44,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,20,67438,29.7
,Alaska,2,2011,2011,45-54 years,45-54,White,2106-3,"Injury, poisoning and certain other consequences of external causes",S00-T98,27,83154,32.5
