Notes,State,State Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,Arizona,4,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1274,6828065,18.7
Total,Arizona,4,2015,2015,External causes of morbidity and mortality,V01-Y89,,,1274,6828065,18.7
Total,Arizona,4,2015,2015,,,,,1274,6828065,18.7
,Arizona,4,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1382,6931071,19.9
Total,Arizona,4,2016,2016,External causes of morbidity and mortality,V01-Y89,,,1382,6931071,19.9
Total,Arizona,4,2016,2016,,,,,1382,6931071,19.9
,Arizona,4,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1529,7016270,21.8
Total,Arizona,4,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1529,7016270,21.8
Total,Arizona,4,2017,2017,,,,,1529,7016270,21.8
,Arizona,4,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1667,7171646,23.2
Total,Arizona,4,2018,2018,External causes of morbidity and mortality,V01-Y89,,,1667,7171646,23.2
Total,Arizona,4,2018,2018,,,,,1667,7171646,23.2
,Arizona,4,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1905,7278717,26.2
Total,Arizona,4,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1905,7278717,26.2
Total,Arizona,4,2019,2019,,,,,1905,7278717,26.2
Total,Arizona,4,,,,,,,21548,130658024,16.5
,Arkansas,5,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,113,2651860,4.3
Total,Arkansas,5,1999,1999,External causes of morbidity and mortality,V01-Y89,,,113,2651860,4.3
Total,Arkansas,5,1999,1999,,,,,113,2651860,4.3
,Arkansas,5,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,139,2673400,5.2
Total,Arkansas,5,2000,2000,External causes of morbidity and mortality,V01-Y89,,,139,2673400,5.2
Total,Arkansas,5,2000,2000,,,,,139,2673400,5.2
,Arkansas,5,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,126,2691571,4.7
Total,Arkansas,5,2001,2001,External causes of morbidity and mortality,V01-Y89,,,126,2691571,4.7
Total,Arkansas,5,2001,2001,,,,,126,2691571,4.7
,Arkansas,5,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,175,2705927,6.5
Total,Arkansas,5,2002,2002,External causes of morbidity and mortality,V01-Y89,,,175,2705927,6.5
Total,Arkansas,5,2002,2002,,,,,175,2705927,6.5
,Arkansas,5,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,183,2724816,6.7
Total,Arkansas,5,2003,2003,External causes of morbidity and mortality,V01-Y89,,,183,2724816,6.7
Total,Arkansas,5,2003,2003,,,,,183,2724816,6.7
,Arkansas,5,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,230,2749686,8.4
Total,Arkansas,5,2004,2004,External causes of morbidity and mortality,V01-Y89,,,230,2749686,8.4
Total,Arkansas,5,2004,2004,,,,,230,2749686,8.4
,Arkansas,5,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,268,2781097,9.6
Total,Arkansas,5,2005,2005,External causes of morbidity and mortality,V01-Y89,,,268,2781097,9.6
Total,Arkansas,5,2005,2005,,,,,268,2781097,9.6
,Arkansas,5,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,285,2821761,10.1
Total,Arkansas,5,2006,2006,External causes of morbidity and mortality,V01-Y89,,,285,2821761,10.1
Total,Arkansas,5,2006,2006,,,,,285,2821761,10.1
,Arkansas,5,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,301,2848650,10.6
Total,Arkansas,5,2007,2007,External causes of morbidity and mortality,V01-Y89,,,301,2848650,10.6
Total,Arkansas,5,2007,2007,,,,,301,2848650,10.6
,Arkansas,5,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,360,2874554,12.5
Total,Arkansas,5,2008,2008,External causes of morbidity and mortality,V01-Y89,,,360,2874554,12.5
Total,Arkansas,5,2008,2008,,,,,360,2874554,12.5
,Arkansas,5,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,351,2896843,12.1
Total,Arkansas,5,2009,2009,External causes of morbidity and mortality,V01-Y89,,,351,2896843,12.1
Total,Arkansas,5,2009,2009,,,,,351,2896843,12.1
,Arkansas,5,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,350,2915918,12
Total,Arkansas,5,2010,2010,External causes of morbidity and mortality,V01-Y89,,,350,2915918,12
Total,Arkansas,5,2010,2010,,,,,350,2915918,12
,Arkansas,5,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,355,2937979,12.1
Total,Arkansas,5,2011,2011,External causes of morbidity and mortality,V01-Y89,,,355,2937979,12.1
Total,Arkansas,5,2011,2011,,,,,355,2937979,12.1
,Arkansas,5,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,372,2949131,12.6
Total,Arkansas,5,2012,2012,External causes of morbidity and mortality,V01-Y89,,,372,2949131,12.6
Total,Arkansas,5,2012,2012,,,,,372,2949131,12.6
,Arkansas,5,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,318,2959373,10.7
Total,Arkansas,5,2013,2013,External causes of morbidity and mortality,V01-Y89,,,318,2959373,10.7
Total,Arkansas,5,2013,2013,,,,,318,2959373,10.7
,Arkansas,5,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,356,2966369,12
Total,Arkansas,5,2014,2014,External causes of morbidity and mortality,V01-Y89,,,356,2966369,12
Total,Arkansas,5,2014,2014,,,,,356,2966369,12
,Arkansas,5,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,390,2978204,13.1
Total,Arkansas,5,2015,2015,External causes of morbidity and mortality,V01-Y89,,,390,2978204,13.1
Total,Arkansas,5,2015,2015,,,,,390,2978204,13.1
,Arkansas,5,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,399,2988248,13.4
Total,Arkansas,5,2016,2016,External causes of morbidity and mortality,V01-Y89,,,399,2988248,13.4
Total,Arkansas,5,2016,2016,,,,,399,2988248,13.4
,Arkansas,5,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,446,3004279,14.8
Total,Arkansas,5,2017,2017,External causes of morbidity and mortality,V01-Y89,,,446,3004279,14.8
Total,Arkansas,5,2017,2017,,,,,446,3004279,14.8
,Arkansas,5,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,444,3013825,14.7
Total,Arkansas,5,2018,2018,External causes of morbidity and mortality,V01-Y89,,,444,3013825,14.7
Total,Arkansas,5,2018,2018,,,,,444,3013825,14.7
,Arkansas,5,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,388,3017804,12.9
Total,Arkansas,5,2019,2019,External causes of morbidity and mortality,V01-Y89,,,388,3017804,12.9
Total,Arkansas,5,2019,2019,,,,,388,3017804,12.9
Total,Arkansas,5,,,,,,,6349,60151295,10.6
,California,6,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2660,33499204,7.9
Total,California,6,1999,1999,External causes of morbidity and mortality,V01-Y89,,,2660,33499204,7.9
Total,California,6,1999,1999,,,,,2660,33499204,7.9
,California,6,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1939,33871648,5.7
Total,California,6,2000,2000,External causes of morbidity and mortality,V01-Y89,,,1939,33871648,5.7
Total,California,6,2000,2000,,,,,1939,33871648,5.7
,California,6,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1224,34479458,3.5
Total,California,6,2001,2001,External causes of morbidity and mortality,V01-Y89,,,1224,34479458,3.5
Total,California,6,2001,2001,,,,,1224,34479458,3.5
,California,6,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2972,34871843,8.5
Total,California,6,2002,2002,External causes of morbidity and mortality,V01-Y89,,,2972,34871843,8.5
Total,California,6,2002,2002,,,,,2972,34871843,8.5
,California,6,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3106,35253159,8.8
Total,California,6,2003,2003,External causes of morbidity and mortality,V01-Y89,,,3106,35253159,8.8
Total,California,6,2003,2003,,,,,3106,35253159,8.8
,California,6,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3125,35574576,8.8
Total,California,6,2004,2004,External causes of morbidity and mortality,V01-Y89,,,3125,35574576,8.8
Total,California,6,2004,2004,,,,,3125,35574576,8.8
,California,6,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3208,35827943,9
Total,California,6,2005,2005,External causes of morbidity and mortality,V01-Y89,,,3208,35827943,9
Total,California,6,2005,2005,,,,,3208,35827943,9
,California,6,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3492,36021202,9.7
Total,California,6,2006,2006,External causes of morbidity and mortality,V01-Y89,,,3492,36021202,9.7
Total,California,6,2006,2006,,,,,3492,36021202,9.7
,California,6,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3854,36250311,10.6
Total,California,6,2007,2007,External causes of morbidity and mortality,V01-Y89,,,3854,36250311,10.6
Total,California,6,2007,2007,,,,,3854,36250311,10.6
,California,6,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3861,36604337,10.5
Total,California,6,2008,2008,External causes of morbidity and mortality,V01-Y89,,,3861,36604337,10.5
Total,California,6,2008,2008,,,,,3861,36604337,10.5
,California,6,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4051,36961229,11
Total,California,6,2009,2009,External causes of morbidity and mortality,V01-Y89,,,4051,36961229,11
Total,California,6,2009,2009,,,,,4051,36961229,11
,California,6,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4050,37253956,10.9
Total,California,6,2010,2010,External causes of morbidity and mortality,V01-Y89,,,4050,37253956,10.9
Total,California,6,2010,2010,,,,,4050,37253956,10.9
,California,6,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4179,37691912,11.1
Total,California,6,2011,2011,External causes of morbidity and mortality,V01-Y89,,,4179,37691912,11.1
Total,California,6,2011,2011,,,,,4179,37691912,11.1
,California,6,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4039,38041430,10.6
Total,California,6,2012,2012,External causes of morbidity and mortality,V01-Y89,,,4039,38041430,10.6
Total,California,6,2012,2012,,,,,4039,38041430,10.6
,California,6,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4445,38332521,11.6
