Notes,Occurrence State,Occurrence State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Single Race 6,Single Race 6 Code,Year,Year Code,MCD - ICD Chapter,MCD - ICD Chapter Code,Deaths,Population,Crude Rate
,Arizona,4,15-24 years,15-24,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,19,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,American Indian or Alaska Native,1002-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,63,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,American Indian or Alaska Native,1002-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,57,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,21,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,522,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,193,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,32,Not Applicable,Not Applicable
,Arizona,4,25-34 years,25-34,More than one race,M,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,American Indian or Alaska Native,1002-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,39,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,American Indian or Alaska Native,1002-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,17,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,29,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,440,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,176,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,25,Not Applicable,Not Applicable
,Arizona,4,35-44 years,35-44,More than one race,M,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,Not Applicable,Not Applicable
,Arizona,4,45-54 years,45-54,American Indian or Alaska Native,1002-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,23,Not Applicable,Not Applicable
,Arizona,4,45-54 years,45-54,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,29,Not Applicable,Not Applicable
,Arizona,4,45-54 years,45-54,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,Not Applicable,Not Applicable
,Arizona,4,45-54 years,45-54,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,404,Not Applicable,Not Applicable
,Arizona,4,45-54 years,45-54,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,139,Not Applicable,Not Applicable
,Arizona,4,55-64 years,55-64,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,36,Not Applicable,Not Applicable
,Arizona,4,55-64 years,55-64,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,330,Not Applicable,Not Applicable
,Arizona,4,55-64 years,55-64,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,104,Not Applicable,Not Applicable
,Arizona,4,65-74 years,65-74,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,90,Not Applicable,Not Applicable
,Arizona,4,65-74 years,65-74,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,34,Not Applicable,Not Applicable
,Arizona,4,75-84 years,75-84,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,Not Applicable,Not Applicable
,Arkansas,5,15-24 years,15-24,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,32,Not Applicable,Not Applicable
,Arkansas,5,15-24 years,15-24,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,14,Not Applicable,Not Applicable
,Arkansas,5,25-34 years,25-34,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,Not Applicable,Not Applicable
,Arkansas,5,25-34 years,25-34,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,14,Not Applicable,Not Applicable
,Arkansas,5,25-34 years,25-34,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,95,Not Applicable,Not Applicable
,Arkansas,5,25-34 years,25-34,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,54,Not Applicable,Not Applicable
,Arkansas,5,35-44 years,35-44,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,18,Not Applicable,Not Applicable
,Arkansas,5,35-44 years,35-44,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,129,Not Applicable,Not Applicable
,Arkansas,5,35-44 years,35-44,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,38,Not Applicable,Not Applicable
,Arkansas,5,45-54 years,45-54,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,84,Not Applicable,Not Applicable
,Arkansas,5,45-54 years,45-54,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,31,Not Applicable,Not Applicable
,Arkansas,5,55-64 years,55-64,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,68,Not Applicable,Not Applicable
,Arkansas,5,55-64 years,55-64,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,25,Not Applicable,Not Applicable
,Arkansas,5,65-74 years,65-74,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,25,Not Applicable,Not Applicable
,California,6,5-14 years,14-May,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,Asian,A,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,38,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,Asian,A,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,83,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,41,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,835,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,298,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,69,Not Applicable,Not Applicable
,California,6,15-24 years,15-24,More than one race,M,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,27,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,American Indian or Alaska Native,1002-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,21,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,American Indian or Alaska Native,1002-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,Asian,A,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,79,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,Asian,A,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,23,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,185,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,83,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,Native Hawaiian or Other Pacific Islander,NHOPI,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,1558,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,625,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,91,Not Applicable,Not Applicable
,California,6,25-34 years,25-34,More than one race,M,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,28,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,American Indian or Alaska Native,1002-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,29,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,Asian,A,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,80,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,Asian,A,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,198,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,74,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,1394,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,553,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,71,Not Applicable,Not Applicable
,California,6,35-44 years,35-44,More than one race,M,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,30,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,American Indian or Alaska Native,1002-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,24,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,American Indian or Alaska Native,1002-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,Asian,A,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,68,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,Asian,A,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,21,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,209,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,67,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,Native Hawaiian or Other Pacific Islander,NHOPI,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,1436,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,525,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,56,Not Applicable,Not Applicable
,California,6,45-54 years,45-54,More than one race,M,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,American Indian or Alaska Native,1002-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,20,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,American Indian or Alaska Native,1002-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,Asian,A,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,48,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,Asian,A,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,21,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,280,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,113,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,1475,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,527,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,38,Not Applicable,Not Applicable
,California,6,55-64 years,55-64,More than one race,M,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,15,Not Applicable,Not Applicable
,California,6,65-74 years,65-74,Asian,A,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,19,Not Applicable,Not Applicable
,California,6,65-74 years,65-74,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,118,Not Applicable,Not Applicable
,California,6,65-74 years,65-74,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,35,Not Applicable,Not Applicable
,California,6,65-74 years,65-74,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,475,Not Applicable,Not Applicable
,California,6,65-74 years,65-74,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,200,Not Applicable,Not Applicable
,California,6,65-74 years,65-74,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,Not Applicable,Not Applicable
,California,6,75-84 years,75-84,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,11,Not Applicable,Not Applicable
,California,6,75-84 years,75-84,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,63,Not Applicable,Not Applicable
,California,6,75-84 years,75-84,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,31,Not Applicable,Not Applicable
,California,6,85+ years,85+,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,29,Not Applicable,Not Applicable
,Colorado,8,15-24 years,15-24,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,Not Applicable,Not Applicable
,Colorado,8,15-24 years,15-24,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,144,Not Applicable,Not Applicable
,Colorado,8,15-24 years,15-24,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,70,Not Applicable,Not Applicable
,Colorado,8,25-34 years,25-34,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,34,Not Applicable,Not Applicable
,Colorado,8,25-34 years,25-34,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,323,Not Applicable,Not Applicable
,Colorado,8,25-34 years,25-34,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,135,Not Applicable,Not Applicable
,Colorado,8,25-34 years,25-34,More than one race,M,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,10,Not Applicable,Not Applicable
,Colorado,8,35-44 years,35-44,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,18,Not Applicable,Not Applicable
,Colorado,8,35-44 years,35-44,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,338,Not Applicable,Not Applicable
,Colorado,8,35-44 years,35-44,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,146,Not Applicable,Not Applicable
,Colorado,8,45-54 years,45-54,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,16,Not Applicable,Not Applicable
,Colorado,8,45-54 years,45-54,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,230,Not Applicable,Not Applicable
,Colorado,8,45-54 years,45-54,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,105,Not Applicable,Not Applicable
,Colorado,8,55-64 years,55-64,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,19,Not Applicable,Not Applicable
,Colorado,8,55-64 years,55-64,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,215,Not Applicable,Not Applicable
,Colorado,8,55-64 years,55-64,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,84,Not Applicable,Not Applicable
,Colorado,8,65-74 years,65-74,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,62,Not Applicable,Not Applicable
,Colorado,8,65-74 years,65-74,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,31,Not Applicable,Not Applicable
,Connecticut,9,15-24 years,15-24,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,12,Not Applicable,Not Applicable
,Connecticut,9,15-24 years,15-24,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,70,Not Applicable,Not Applicable
,Connecticut,9,15-24 years,15-24,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,Not Applicable,Not Applicable
,Connecticut,9,25-34 years,25-34,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,37,Not Applicable,Not Applicable
,Connecticut,9,25-34 years,25-34,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,13,Not Applicable,Not Applicable
,Connecticut,9,25-34 years,25-34,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,264,Not Applicable,Not Applicable
,Connecticut,9,25-34 years,25-34,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,71,Not Applicable,Not Applicable
,Connecticut,9,35-44 years,35-44,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,41,Not Applicable,Not Applicable
,Connecticut,9,35-44 years,35-44,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,21,Not Applicable,Not Applicable
,Connecticut,9,35-44 years,35-44,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,294,Not Applicable,Not Applicable
,Connecticut,9,35-44 years,35-44,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,110,Not Applicable,Not Applicable
,Connecticut,9,45-54 years,45-54,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,40,Not Applicable,Not Applicable
,Connecticut,9,45-54 years,45-54,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,22,Not Applicable,Not Applicable
,Connecticut,9,45-54 years,45-54,White,2106-3,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,254,Not Applicable,Not Applicable
,Connecticut,9,45-54 years,45-54,White,2106-3,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,86,Not Applicable,Not Applicable
,Connecticut,9,55-64 years,55-64,Black or African American,2054-5,2020 (provisional),2020,"Injury, poisoning and certain other consequences of external causes",S00-T98,46,Not Applicable,Not Applicable
,Connecticut,9,55-64 years,55-64,Black or African American,2054-5,2021 (provisional and partial),2021,"Injury, poisoning and certain other consequences of external causes",S00-T98,29,Not Applicable,Not Applicable
