Notes,State,State Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Jun., 2016",2016/06,438,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Jul., 2016",2016/07,533,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Aug., 2016",2016/08,522,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Sep., 2016",2016/09,527,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Oct., 2016",2016/10,698,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Nov., 2016",2016/11,611,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Dec., 2016",2016/12,563,Not Applicable,Not Applicable
Total,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,,,5982,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Jan., 2017",2017/01,573,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Feb., 2017",2017/02,500,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Mar., 2017",2017/03,638,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Apr., 2017",2017/04,540,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"May, 2017",2017/05,528,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Jun., 2017",2017/06,625,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Jul., 2017",2017/07,509,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Aug., 2017",2017/08,683,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Sep., 2017",2017/09,614,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Oct., 2017",2017/10,629,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Nov., 2017",2017/11,545,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,"Dec., 2017",2017/12,685,Not Applicable,Not Applicable
Total,Florida,12,All other non-drug and non-alcohol causes,O,2017,2017,,,7069,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Jan., 2018",2018/01,682,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Feb., 2018",2018/02,510,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Mar., 2018",2018/03,480,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Apr., 2018",2018/04,628,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"May, 2018",2018/05,646,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Jun., 2018",2018/06,555,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Jul., 2018",2018/07,621,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Aug., 2018",2018/08,552,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Sep., 2018",2018/09,562,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Oct., 2018",2018/10,554,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Nov., 2018",2018/11,666,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,"Dec., 2018",2018/12,660,Not Applicable,Not Applicable
Total,Florida,12,All other non-drug and non-alcohol causes,O,2018,2018,,,7116,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Jan., 2019",2019/01,669,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Feb., 2019",2019/02,585,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Mar., 2019",2019/03,606,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Apr., 2019",2019/04,675,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"May, 2019",2019/05,526,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Jun., 2019",2019/06,689,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Jul., 2019",2019/07,687,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Aug., 2019",2019/08,664,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Sep., 2019",2019/09,850,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Oct., 2019",2019/10,928,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Nov., 2019",2019/11,756,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,"Dec., 2019",2019/12,762,Not Applicable,Not Applicable
Total,Florida,12,All other non-drug and non-alcohol causes,O,2019,2019,,,8397,Not Applicable,Not Applicable
Total,Florida,12,All other non-drug and non-alcohol causes,O,,,,,32423,Not Applicable,Not Applicable
Total,Florida,12,,,,,,,32423,Not Applicable,Not Applicable
Total,,,,,,,,,32423,Not Applicable,Not Applicable
---,,,,,,,,,,,
"Dataset: Multiple Cause of Death, 1999-2019",,,,,,,,,,,
Query Parameters:,,,,,,,,,,,
Title: fl_death_rate,,,,,,,,,,,
MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);,,,,,,,,,,,
T40.6 (Other and unspecified narcotics),,,,,,,,,,,
MCD - ICD-10 Codes: AND,,,,,,,,,,,
"MCD - ICD-10 Codes: T36-T50 (Poisoning by drugs, medicaments and biological substances)",,,,,,,,,,,
States: Florida (12),,,,,,,,,,,
"UCD - ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X41",,,,,,,,,,,
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not",,,,,,,,,,,
"elsewhere classified); X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not",,,,,,,,,,,
elsewhere classified); X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system); X44,,,,,,,,,,,
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X60 (Intentional",,,,,,,,,,,
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X61 (Intentional self-poisoning by and",,,,,,,,,,,
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X62",,,,,,,,,,,
"(Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X63",,,,,,,,,,,
(Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system); X64 (Intentional,,,,,,,,,,,
"self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X85 (Assault by drugs,",,,,,,,,,,,
"medicaments and biological substances); Y10 (Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics,",,,,,,,,,,,
"undetermined intent); Y11 (Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic",,,,,,,,,,,
"drugs, not elsewhere classified, undetermined intent); Y12 (Poisoning by and exposure to narcotics and psychodysleptics",,,,,,,,,,,
"[hallucinogens], not elsewhere classified, undetermined intent); Y13 (Poisoning by and exposure to other drugs acting on the",,,,,,,,,,,
"autonomic nervous system, undetermined intent); Y14 (Poisoning by and exposure to other and unspecified drugs, medicaments and",,,,,,,,,,,
"biological substances, undetermined intent)",,,,,,,,,,,
Year/Month: 2015; 2016; 2017; 2018; 2019,,,,,,,,,,,
Group By: State; MCD - Drug/Alcohol Induced; Year; Month,,,,,,,,,,,
Show Totals: True,,,,,,,,,,,
Show Zero Values: False,,,,,,,,,,,
Show Suppressed: False,,,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,,,
---,,,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,,,,,,,
---,,,,,,,,,,,
"Query Date: Dec 6, 2021 3:21:58 PM",,,,,,,,,,,
---,,,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,,,,,,,
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as",,,,,,,,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,,,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on Dec 6, 2021 3:21:58 PM",,,,,,,,,,,
---,,,,,,,,,,,
Messages:,,,,,,,,,,,
"1. Selections made to any variable in [MCD - ICD-10 Codes, MCD - Drug/Alcohol Induced Causes] cause equivalent selections in the",,,,,,,,,,,
other variables. More Information: http://wonder.cdc.gov/wonder/help/faq.html#related-variables.,,,,,,,,,,,
---,,,,,,,,,,,
Caveats:,,,,,,,,,,,
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,",,,,,,,,,,,
due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates.,,,,,,,,,,,
2. Changes to cause of death classification affect reporting trends. More information:,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes.,,,,,,,,,,,
